no,year,period,day,season,channel,channel_optional,program,begin,end
85,1947-1948,daytime,,Winter 1947/1948,NBC,,The Swift Home Service Club (F),1:00 pm,1:30 pm
86,1947-1948,daytime,,Winter 1947/1948,NBC,,local programming,1:30 pm,5:00 pm
87,1947-1948,daytime,,Winter 1947/1948,NBC,,Playtime (to 2/18) / Howdy Doody (from 2/5 at 5:30 pm),5:00 pm,*5:30 pm
88,1947-1948,daytime,,Winter 1947/1948,DMN,,?,1:00 pm,*5:30 pm
89,1947-1948,daytime,,Spring 1948,CBS,,The Missus Goes a-Shopping (since 5/5),1:30 pm,2:00 pm
90,1947-1948,daytime,,Spring 1948,CBS,,local programming,2:00 pm,*5:30 pm
91,1947-1948,daytime,,Spring 1948,NBC,,local programming,1:30 pm,5:30 pm
92,1947-1948,daytime,,Spring 1948,NBC,,Howdy Doody,5:30 pm,*5:30 pm
93,1947-1948,daytime,,Spring 1948,DMN,,?,1:30 pm,*5:30 pm
94,1947-1948,daytime,,Summer 1948,ABC,,local programming,1:30 pm,5:30 pm
95,1947-1948,daytime,,Summer 1948,ABC,,Cartoon Teletales (from 8/11) / The Singing Lady (from 8/12),5:30 pm,*5:30 pm
96,1947-1948,daytime,,Summer 1948,CBS,,The Missus Goes a-Shopping,1:30 pm,2:00 pm
97,1947-1948,daytime,,Summer 1948,CBS,,local programming,2:00 pm,*5:30 pm
98,1947-1948,daytime,,Summer 1948,NBC,,local programming,1:30 pm,5:30 pm
99,1947-1948,daytime,,Summer 1948,NBC,,Howdy Doody,5:30 pm,*5:30 pm
100,1947-1948,daytime,,Summer 1948,DMN,,?,1:30 pm,*5:30 pm
101,1948-1949,prime time,Sunday,Fall Schedule,ABC,,Local,7:00 PM,7:30 PM
102,1948-1949,prime time,Sunday,Fall Schedule,ABC,,The Southernaires Quartet,7:30 PM,8:00 PM
103,1948-1949,prime time,Sunday,Fall Schedule,ABC,,Hollywood Screen Test,8:00 PM,8:30 PM
104,1948-1949,prime time,Sunday,Fall Schedule,ABC,,Actors Studio,8:30 PM,9:00 PM
105,1948-1949,prime time,Sunday,Fall Schedule,ABC,,Local,9:00 PM,*10:30 PM
106,1948-1949,prime time,Sunday,Fall Schedule,CBS,,7:00 The Week in Review / 7:15 Local,7:00 PM,7:30 PM
107,1948-1949,prime time,Sunday,Fall Schedule,CBS,,Ford Television Theatre Hour (monthly),7:30 PM,8:30 PM
108,1948-1949,prime time,Sunday,Fall Schedule,CBS,,Local,8:30 PM,9:00 PM
109,1948-1949,prime time,Sunday,Fall Schedule,CBS,,Toast of the Town,9:00 PM,10:00 PM
110,1948-1949,prime time,Sunday,Fall Schedule,CBS,,10:00 America Speaks / 10:15 Local,10:00 PM,10:30 PM
111,1948-1949,prime time,Sunday,Fall Schedule,CBS,,Local,10:30 PM,*10:30 PM
112,1948-1949,prime time,Sunday,Fall Schedule,NBC,,7:00 Mary Kay and Johnny / 7:20 Review of the Week,7:00 PM,7:30 PM
113,1948-1949,prime time,Sunday,Fall Schedule,NBC,,Admiral Presents the Five Star Revue — Welcome Aboard,7:30 PM,8:00 PM
114,1948-1949,prime time,Sunday,Fall Schedule,NBC,,Author Meets the Critics,8:00 PM,8:30 PM
115,1948-1949,prime time,Sunday,Fall Schedule,NBC,,Meet the Press,8:30 PM,9:00 PM
116,1948-1949,prime time,Sunday,Fall Schedule,NBC,,The Philco Television Playhouse,9:00 PM,10:00 PM
117,1948-1949,prime time,Sunday,Fall Schedule,NBC,,Local,10:00 PM,*10:30 PM
118,1948-1949,prime time,Sunday,Fall Schedule,DMN,,The Original Amateur Hour,7:00 PM,8:00 PM
119,1948-1949,prime time,Sunday,Fall Schedule,DMN,,Local,8:00 PM,*10:30 PM
120,1948-1949,prime time,Monday,Fall Schedule,ABC,,7:00 News and Views (Aug.) / 7:15 Local,7:00 PM,7:30 PM
121,1948-1949,prime time,Monday,Fall Schedule,ABC,,Kiernan's Corner (Aug.),7:30 PM,8:00 PM
122,1948-1949,prime time,Monday,Fall Schedule,ABC,,Quizzing the News (Aug.),8:00 PM,8:30 PM
123,1948-1949,prime time,Monday,Fall Schedule,ABC,,Local,8:30 PM,*10:30 PM
124,1948-1949,prime time,Monday,Fall Schedule,CBS,,7:00 Local / 7:15 Places Please (Aug.),7:00 PM,7:30 PM
125,1948-1949,prime time,Monday,Fall Schedule,CBS,,7:30 CBS Television News / 7:45 Face the Music,7:30 PM,8:00 PM
126,1948-1949,prime time,Monday,Fall Schedule,CBS,,Local,8:00 PM,*10:30 PM
